id,nb_blocks,nb_instructions,reuse,distance
0,1,9,1,0
1,1,5,766,4695073
2,2,26,622,4695073
3,12,108,1,0
4,1,5,89,4648170
5,2,14,89,4648170
6,7,51,87,4648170
7,6,27,83,4648170
8,1,6,765,4694817
9,1,14,992,4694817
10,3,30,83,4648170
11,4,20,83,4648170
12,1,8,87,4648170
13,5,38,93,4648170
14,22,140,95,4648170
15,1,9,98,4648170
16,4,14,95,4648170
17,2,5,95,4648170
18,3,32,89,4648170
19,2,14,4,3894862
20,7,61,4,3894862
21,4,34,4,3894862
22,16,124,4,3894862
23,7,35,4,3894862
24,1,11,5,3894862
25,2,9,5,3894862
26,7,47,3,3894862
27,3,26,34,4684378
28,10,55,32,4684378
29,8,43,29,4684378
30,8,48,34,4684378
31,3,21,7,3894862
32,4,30,8,3894862
33,6,46,8,3894862
34,2,27,221,4690646
35,1,5,219,4690646
36,5,28,93,4647744
37,3,20,93,4647744
38,3,21,93,4647744
39,2,16,93,4647744
40,11,54,8,3894862
41,9,78,91,4647755
42,17,101,5,18826
43,5,34,7,18826
44,5,34,7,18826
45,8,48,9,3644991
46,13,68,3,1653
47,5,34,4,16041
48,5,34,4,16041
49,6,36,8,3644979
50,10,39,7,4495998
51,2,16,21,4497793
52,4,22,93,4647486
53,4,28,93,4647486
54,7,52,93,4647486
55,6,30,93,4647486
56,9,41,93,4647486
57,8,40,93,4647486
58,5,36,265,4648588
59,5,31,259,4648588
60,5,30,258,4648588
61,1,16,258,4648588
62,8,62,172,4648037
63,17,102,2,820
64,11,41,7,4496062
65,15,114,172,4647768
66,1,11,354,4690829
67,15,73,172,4647768
68,11,40,7,4496139
69,9,71,1,0
70,1,13,93,4646926
71,1,12,93,4646926
72,8,67,86,4646926
73,4,22,91,4646926
74,6,41,1,0
75,1,12,93,4646924
76,2,17,8,3894144
77,2,10,8,3894144
78,3,22,34,4681823
79,1,8,8,3894144
80,1,7,3,3894144
81,14,83,1,0
82,8,37,1,0
83,5,29,2,2996874
84,6,44,1,0
85,8,40,2,2996899
86,5,46,1,0
87,2,13,1,0
88,3,25,2,2997107
89,5,43,2,2997107
90,2,20,5,2999298
91,3,25,2,2997107
92,5,25,2,2997107
93,9,41,2,2997107
94,7,30,2,2997107
95,11,39,1,0
96,2,25,2,2997183
97,6,33,2,2997183
98,1,8,2,2997183
99,4,38,2,2997183
100,3,27,2,2997183
101,6,45,2,2997183
102,2,9,2,2997135
103,1,8,1,0
104,3,26,2,2998632
105,2,18,2,2998632
106,3,49,2,2998632
107,10,71,1,0
108,8,63,1,0
109,2,19,1,0
110,1,12,2,2998793
111,7,41,2,2998793
112,1,9,2,2998793
113,4,32,2,2998793
114,1,8,2,2998793
115,8,65,1,0
116,1,10,2,2998783
117,21,115,1,0
118,1,15,3,3907637
119,1,13,5,3907637
120,7,43,2,2998817
121,5,39,4,3892637
122,10,65,4,3892637
123,2,13,4,3892637
124,13,67,4,3892637
125,2,14,6,3907507
126,1,26,6,3907507
127,2,14,6,3907507
128,1,9,6,3907507
129,2,20,4,3892637
130,1,9,4,3892637
131,2,6,89,4645052
132,1,15,95,4645052
133,1,13,89,4645052
134,1,9,95,4645052
135,2,11,95,4645052
136,1,3,234,4680622
137,2,14,93,4645052
138,9,54,2,2998817
139,4,20,2,2998817
140,13,145,1,0
141,4,30,2,2689
142,3,24,2,2689
143,11,66,85,4642113
144,16,89,85,4642113
145,6,48,85,4642113
146,14,65,85,4642113
147,8,50,3,3889208
148,14,74,13,3893539
149,5,22,271,4685046
150,10,41,2,3892661
151,2,21,4,3892661
152,19,120,2,3892661
153,6,24,518,4685575
154,16,127,4,3893012
155,18,115,2,3892661
156,9,50,2,3892661
157,7,55,5,3892661
158,3,18,8,3892661
159,5,26,85,4642414
160,2,7,85,4642414
161,2,17,85,4642414
162,1,13,85,4642414
163,1,6,85,4642414
164,2,14,85,4642414
165,1,13,2,3301
166,7,55,2,3301
167,2,12,95,4642423
168,1,5,95,4642423
169,8,49,6,3237460
170,1,5,89,4642440
171,1,7,89,4642440
172,1,8,95,4642440
173,1,7,95,4642440
174,13,126,1,0
175,9,87,6,63669
176,10,43,1,0
177,21,146,1,0
178,1,7,3,142952
179,17,100,3,142952
180,11,58,3,142952
181,9,44,3,142952
182,2,15,3,142952
183,10,42,2,142898
184,3,22,3,2999949
185,7,45,4,142898
186,1,12,3,143042
187,1,17,3,143042
188,2,12,1,0
189,1,9,1,0
190,2,17,1,0
191,5,21,1,0
192,6,44,1,0
193,8,32,6,61939
194,5,47,6,61939
195,6,26,1,0
196,10,53,1,0
197,3,32,4,145913
198,1,12,4,145913
199,1,8,1,0
200,1,10,11,61818
201,2,25,6,61818
202,1,8,6,61818
203,4,23,6,61818
204,2,21,6,61818
205,3,89,6,61818
206,15,125,1,0
207,7,42,1,0
208,4,50,1,0
209,2,21,1,0
210,1,18,1,0
211,12,45,6,61591
212,3,26,6,61591
213,2,5,6,61591
214,1,16,6,61591
215,3,55,1,0
216,4,36,1,0
217,10,34,4,2994802
218,14,130,2,2992831
219,10,69,1,0
220,5,45,2,107
221,10,62,1,0
222,8,62,1,0
223,4,44,4,2992548
224,5,42,3,2992548
225,8,59,1,0
226,2,18,4,2994095
227,17,124,1,0
228,5,40,1,0
229,20,138,1,0
230,7,29,2,2995974
231,3,25,1,0
232,16,100,1,0
233,10,66,1,0
234,4,28,2,2995962
235,10,75,2,2995962
236,6,60,1,0
237,8,49,1,0
238,6,46,1,0
239,5,43,1,0
240,4,31,1,0
241,8,43,2,2995766
242,3,20,2,2995766
243,19,73,1,0
244,1,9,1,0
245,7,35,1,0
246,2,24,3,2991584
247,4,30,1,0
248,19,145,1,0
249,7,45,1,0
250,7,52,1,0
251,6,60,1,0
252,5,46,1,0
253,4,34,1,0
254,2,18,1,0
255,13,99,1,0
256,6,40,1,0
257,7,49,1,0
258,7,44,1,0
259,4,50,4,203560
260,2,24,53,4590866
261,1,8,218,4671297
262,1,9,1,0
263,9,45,1,0
264,1,17,2,2990721
265,3,30,3,2992405
266,8,81,2,2990721
267,6,47,3,2990721
268,11,73,1,0
269,5,34,1,0
270,5,34,1,0
271,4,32,2,2990661
272,10,66,1,0
273,5,34,1,0
274,5,34,1,0
275,4,32,2,2990649
276,18,112,1,0
277,20,110,2,277
278,12,69,2,2990658
279,18,93,1,0
280,22,104,2,2990652
281,10,46,2,2990652
282,1,23,3,2990652
283,9,85,2,2990652
284,7,56,1,0
285,11,50,2,210994
286,5,60,2,210994
287,6,65,1,0
288,5,32,1,0
289,8,48,1,0
290,7,45,1,0
291,1,7,1,0
292,5,27,1,0
293,20,73,1,0
294,4,34,1,0
295,11,49,2,210829
296,6,49,1,0
297,4,54,1,0
298,11,42,1,0
299,4,49,4,211043
300,10,116,1,0
301,26,123,1,0
302,9,108,1,0
303,21,168,1,0
304,17,62,1,0
305,9,47,1,0
306,5,30,1,0
307,8,50,1,0
308,1,18,2,2989214
309,13,79,1,0
310,16,66,1,0
311,2,38,1,0
312,1,5,141,4665526
313,1,7,141,4665526
314,5,34,1,0
315,2,33,1,0
316,6,43,1,0
317,3,17,83,4630114
318,6,39,83,4630114
319,2,11,179,4670189
320,5,32,179,4670189
321,4,25,179,4670189
322,4,26,179,4670189
323,3,27,179,4670189
324,4,37,86,4630114
325,9,51,86,4630114
326,1,8,86,4630114
327,9,42,86,4630114
328,6,38,256,4630724
329,8,34,3,138837
330,16,67,1,0
331,17,101,8,3894249
332,7,44,262,4630655
333,2,21,264,4630655
334,4,20,86,4630655
335,8,37,86,4630655
336,8,40,93,4630655
337,2,21,93,4630655
338,19,116,1,0
339,4,30,90,4630660
340,4,34,96,4672196
341,1,11,96,4672196
342,4,29,178,4672196
343,10,45,178,4672196
344,6,32,90,4672196
345,9,63,178,4672196
346,1,9,178,4672196
347,2,10,178,4672196
348,2,12,178,4672196
349,2,17,178,4672196
350,3,35,178,4672196
351,1,8,178,4672196
352,5,46,178,4672196
353,2,7,175,4672196
354,3,19,92,4672196
355,2,23,178,4672196
356,7,31,3,138800
357,2,11,3,138800
358,1,9,3,138800
359,13,58,3,138800
360,23,156,1,0
361,8,34,3,138809
362,5,27,3,138809
363,29,111,1,0
364,2,11,1,0
365,7,39,1,0
366,6,39,1,0
367,1,6,3,138644
368,4,32,1,0
369,1,6,10,138644
370,5,35,1,0
371,5,27,2,28668
372,5,25,2,28668
373,16,92,2,28668
374,1,16,2,28668
375,3,10,4,28694
376,1,16,2,28668
377,3,29,2,28668
378,3,31,2,28668
379,7,62,2,28668
380,19,122,17,4634849
381,22,77,17,4634849
382,4,24,146,4651713
383,11,57,147,4651713
384,2,9,149,4651713
385,10,81,147,4651713
386,4,34,149,4651713
387,89,348,2,28585
388,3,18,153,4651521
389,1,18,149,4651521
390,3,17,147,4651521
391,20,63,147,4651521
392,3,43,147,4651521
393,3,24,121,4634657
394,5,54,2,28585
395,2,16,2,28585
396,8,64,2,28585
397,7,25,4,130297
398,1,15,4,130297
399,4,46,2,28585
400,5,26,2,28585
401,7,59,2,28585
402,7,25,15,87615
403,7,20,49,87496
404,1,12,82,130356
405,8,61,2,28585
406,7,23,57,130241
407,10,65,2,28585
408,8,24,13,87377
409,8,61,2,28585
410,8,61,2,28585
411,8,61,2,28585
412,8,61,2,28585
413,8,61,2,28585
414,8,61,2,28585
415,8,61,2,28585
416,8,61,2,28585
417,8,61,2,28585
418,8,61,2,28585
419,8,61,2,28585
420,8,61,2,28585
421,8,61,2,28585
422,8,61,2,28585
423,5,21,2,28585
424,9,64,2,28585
425,6,27,2,28585
426,7,58,2,28585
427,7,24,4,34224
428,6,19,5,128198
429,5,27,2,28585
430,20,73,2,28585
431,3,25,2,28585
432,3,19,2,28585
433,8,63,2,28585
434,8,61,2,28585
435,8,61,2,28585
436,8,61,2,28585
437,10,66,2,28585
438,8,72,2,28585
439,7,23,2,28585
440,5,18,2,28585
441,1,12,2,28585
442,9,60,2,28585
443,7,24,6,29834
444,8,59,2,28585
445,5,28,2,28585
446,5,23,2,28585
447,3,22,2,28585
448,1,10,2,28585
449,7,52,2,28585
450,10,71,2,28585
451,7,22,2,28585
452,1,10,2,28585
453,24,93,2,28585
454,1,4,2,28585
455,3,68,2,28585
456,2,17,2,28585
457,7,56,2,28585
458,7,22,12,31836
459,1,10,12,31836
460,2,61,2,28585
461,6,38,2,28585
462,9,67,2,28585
463,8,17,10,32084
464,3,19,2,28585
465,7,29,2,28585
466,6,26,2,28585
467,8,62,2,28585
468,7,32,2,28585
469,7,23,2,28585
470,9,41,2,28585
471,8,59,2,28585
472,8,64,2,28585
473,10,69,2,28585
474,2,8,4,28994
475,8,64,2,28585
476,35,179,2,28585
477,11,74,2,28585
478,9,88,2,28585
479,3,33,2,28585
480,2,17,2,28585
481,7,60,2,28585
482,5,18,5,124894
483,8,59,2,28585
484,22,78,2,28585
485,2,32,2,28585
486,2,16,2,28585
487,2,16,2,28585
488,2,18,2,28585
489,2,16,2,28585
490,2,38,2,28585
491,8,114,2,28585
492,5,34,2,28585
493,20,65,2,28585
494,21,67,2,28585
495,4,47,2,28585
496,41,339,2,28585
497,40,322,2,28585
498,10,71,2,28585
499,7,17,2,28585
500,2,23,2,28585
501,7,56,2,28585
502,14,53,2,28585
503,7,56,2,28585
504,7,33,2,28585
505,17,103,2,28585
506,1,10,8,41624
507,2,12,7,38971
508,2,15,146,4654634
509,7,60,2,28585
510,4,24,2,28585
511,1,12,2,28585
512,12,84,2,28585
513,7,38,2,28585
514,7,29,2,28585
515,7,58,2,28585
516,7,29,2,28585
517,7,58,2,28585
518,4,33,2,28585
519,2,21,2,28585
520,14,76,2,28585
521,4,32,4,122528
522,18,100,2,28585
523,10,81,2,28585
524,57,220,3,31347
525,3,16,2,28585
526,28,253,2,28585
527,5,26,2,28585
528,16,121,2,28585
529,1,11,221,4634950
530,1,8,220,4634950
531,4,51,2,28585
532,3,33,2,28585
533,1,11,2,28585
534,5,41,4,121536
535,11,51,4,121536
536,22,151,7,121536
537,1,17,219,4634593
538,11,93,6,121536
539,1,12,73,4634593
540,1,12,7,121536
541,11,115,4,121536
542,3,27,118,4651591
543,1,11,4,121536
544,5,22,4,121536
545,3,18,4,121536
546,3,18,4,121536
547,2,14,2,28585
548,3,11,44,36891
549,3,24,2,28585
550,3,30,2,28585
551,5,21,2,28585
552,2,18,2,28585
553,2,17,2,28585
554,4,25,2,28585
555,3,22,2,28585
556,3,34,2,28585
557,18,133,1,0
558,32,116,103,4589865
559,33,124,5,119373
560,5,45,1,0
561,4,19,1,0
562,3,42,1,0
563,4,32,1,0
564,8,33,1,0
565,8,25,1,0
566,2,22,1,0
567,13,106,1,0
568,9,37,4,32057
569,17,107,4,32057
570,1,13,4,32057
571,9,48,4,32057
572,3,20,4,32057
573,6,28,4,32057
574,5,15,4,32057
575,11,69,4,32057
576,8,57,1,0
577,8,67,1,0
578,1,8,13,122404
579,4,21,4,122404
580,9,52,1,0
581,4,21,1,0
582,21,86,4,32663
583,1,13,4,32663
584,6,84,4,32663
585,2,19,4,32663
586,19,120,4,32663
587,5,37,4,32663
588,10,79,4,32663
589,1,14,4,32663
590,9,46,4,32663
591,4,14,4,32663
592,7,77,1,0
593,3,20,6,2963549
594,7,36,5,35660
595,9,44,5,35660
596,5,38,4,32686
597,6,37,5,35656
598,5,22,1,0
599,10,53,1,0
600,1,10,1,0
601,2,10,5,35539
602,3,29,5,35539
603,6,53,4,32569
604,3,14,6,2973714
605,2,32,1,0
606,2,9,4,31413
607,3,21,3,11963
608,6,30,2,32546
609,6,35,4,32546
610,21,112,1,0
611,2,22,143,4643189
612,2,20,1,0
613,1,17,1,0
614,4,24,1,0
615,7,30,2,24862
616,5,22,2,24862
617,2,18,1,0
618,2,18,2,24909
619,2,17,2,24909
620,6,35,2,24909
621,2,25,2,24909
622,2,18,2,24909
623,5,34,2,24909
624,2,20,1,0
625,4,38,2,32364
626,2,17,2,32364
627,2,19,2,32364
628,21,155,1,0
629,13,113,2,6283
630,9,58,2,6283
631,1,14,2,6283
632,5,36,2,6283
633,5,67,2,6283
634,7,23,2,6283
635,7,23,2,6283
636,2,15,2,6283
637,6,37,2,6283
638,14,55,2,6283
639,14,63,2,6283
640,1,22,3,25514
641,12,89,2,6283
642,9,42,3,25514
643,25,102,3,25514
644,4,24,3,25514
645,7,93,3,25514
646,1,14,3,25514
647,1,14,3,25514
648,14,46,3,25514
649,1,20,3,25514
650,4,23,3,25514
651,5,57,3,25514
652,27,100,4,31233
653,2,23,3,25514
654,4,40,3,25514
655,11,68,3,25514
656,6,52,2,6283
657,1,12,3,25605
658,15,92,3,25605
659,1,13,3,25605
660,1,14,3,25605
661,10,111,2,6283
662,1,11,4,44726
663,2,50,2,6283
664,5,49,2,6283
665,3,80,2,6283
666,11,72,3,25341
667,4,25,3,25341
668,15,94,3,25341
669,37,230,2,6283
670,1,7,5,2967039
671,2,6,3,25733
672,7,45,3,25733
673,2,33,3,25733
674,3,9,3,25733
675,4,10,3,25733
676,4,22,3,25733
677,2,19,3,25733
678,1,10,3,25733
679,5,42,3,25733
680,5,46,3,25733
681,15,117,3,25733
682,3,27,4,37895
683,2,17,6,38598
684,17,76,1,0
685,1,8,3,25793
686,1,12,3,25793
687,7,44,4,37838
688,4,27,4,37838
689,9,53,3,25793
690,6,25,3,25793
691,1,17,4,28782
692,7,68,3,28752
693,2,12,4,28748
694,7,54,2,6343
695,9,58,3,25793
696,5,44,2,6343
697,2,27,3,25884
698,2,18,3,25884
699,2,20,3,25884
700,2,18,2,6343
701,5,52,2,6343
702,2,23,2,6343
703,12,100,1,0
704,15,62,2,19450
705,11,58,3,31590
706,3,16,3,31590
707,18,107,1,0
708,3,25,1,0
709,1,12,1,0
710,2,25,2,19530
711,3,14,2,19530
712,1,11,2,19530
713,4,34,1,0
714,9,31,1,0
715,5,35,1,0
716,5,24,1,0
717,4,33,1,0
718,4,27,1,0
719,6,29,1,0
720,30,254,1,0
721,3,25,1,0
722,9,46,1,0
723,3,24,1,0
724,26,167,1,0
725,1,12,1,0
726,4,42,1,0
727,5,58,1,0
728,4,41,1,0
729,2,27,1,0
730,5,36,1,0
731,1,29,1,0
732,6,36,1,0
733,11,50,1,0
734,13,52,1,0
735,9,146,1,0
736,2,50,1,0
737,14,68,1,0
738,12,89,1,0
739,18,106,1,0
740,3,37,1,0
741,5,28,1,0
742,13,43,1,0
743,8,69,1,0
744,7,21,1,0
745,10,46,1,0
746,1,9,1,0
747,5,15,1,0
748,8,42,1,0
749,5,23,1,0
750,3,20,1,0
751,3,24,1,0
752,12,54,1,0
753,37,228,1,0
754,9,74,1,0
755,2,39,1,0
756,17,98,1,0
